,School,Draft Value,Exp. Draft Value,DVOE,
285,Rutgers,145.7,437.1,-291.4,
286,Arizona,75.5,413.5,-338.0,
287,Ole Miss,819.9,1185.8,-365.9,
288,Virginia,167.1,568.0,-400.9,
289,Florida State,1956.8,2376.9,-420.1,
290,Auburn,1087.9,1602.6,-514.7,
291,Nebraska,194.2,718.6,-524.4,
292,USC,1655.4,2312.2,-656.8,
293,Tennessee,594.8,1290.3,-695.5,
294,Texas,524.0,1816.0,-1292.0,
